category,category_label,scenario_count,completed,errors,core_score_mean,core_score_median,minimum,maximum,standard_deviation,key_submetrics,source_file,source_field,extraction_script,validation_status
cognitive_continuity,Cognitive Continuity,40,40,0,0.936667,1,0.633333,1,0.107832,"{""profile_recall"":0.93,""profile_consistency"":1,""constraint_utilization"":0.816667,""personalization_accuracy"":0.873333,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
memory_evolution,Memory Evolution,40,38,2,0.852866,0.868056,0.419444,1,0.159146,"{""current_state_accuracy"":0.947368,""historical_state_preservation"":0.97051,""temporal_ordering_accuracy"":0.524561,""evolution_interpretation_accuracy"":0.814146,""stale_memory_leakage"":0,""state_transition_accuracy"":0.86061}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
conflict_resolution,Conflict Resolution,40,40,0,0.8125,0.833333,0.388889,0.833333,0.080208,"{""conflict_resolution_accuracy"":0.975,""latest_valid_fact_accuracy"":0.975,""historical_query_accuracy"":0.95,""invalidated_fact_rejection"":0.95,""conflict_disclosure_accuracy"":0.025,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
cross_agent_transfer,Cross-Agent Transfer,30,30,0,1,1,1,1,0,"{""cross_agent_recall"":1,""cross_agent_consistency"":1,""update_propagation_accuracy"":1,""provenance_preservation"":1,""agent_isolation_error_rate"":0,""stale_transfer_rate"":0}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=cross_agent_transfer: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
human_like_forgetting,Human-like Forgetting,40,40,0,0.884722,0.861111,0.555556,1,0.119727,"{""salient_memory_retention"":1,""noise_suppression"":0.883333,""false_forgetting_rate"":0,""stale_retention_rate"":0.141667,""memory_precision"":0.941667,""memory_compression_ratio"":null,""invalidation_accuracy"":0.625}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=human_like_forgetting: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
proactive_insight,Proactive Insight,30,30,0,0.770833,0.796875,0.34375,1,0.131926,"{""insight_precision"":0.75,""insight_recall"":0.633333,""blind_spot_detection_rate"":0.741667,""constraint_awareness"":0.641667,""actionability"":0.675,""unsupported_claim_rate"":0.083333,""redundant_insight_rate"":0.116667,""overreach_rate"":0.075}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=proactive_insight: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
decision_quality,Decision Quality,30,30,0,0.808235,0.814815,0.601852,0.925926,0.066512,"{""constraint_coverage"":0.9,""goal_alignment"":0.8,""personalization"":0.811111,""option_comparison_quality"":0.833333,""risk_awareness"":0.641667,""actionability"":0.758333,""internal_consistency"":0.85,""unsupported_assumption_rate"":0.05,""overall_decision_quality"":0.729667}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=decision_quality: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
