category,category_label,scenario_count,completed,errors,core_score_mean,core_score_median,minimum,maximum,standard_deviation,key_submetrics,source_file,source_field,extraction_script,validation_status
cognitive_continuity,Cognitive Continuity,1,1,0,1,1,1,1,0,"{""profile_recall"":1,""profile_consistency"":1,""constraint_utilization"":1,""personalization_accuracy"":1,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
memory_evolution,Memory Evolution,1,1,0,0.77381,0.77381,0.77381,0.77381,0,"{""current_state_accuracy"":1,""historical_state_preservation"":1,""temporal_ordering_accuracy"":0.142857,""evolution_interpretation_accuracy"":0.714286,""stale_memory_leakage"":0,""state_transition_accuracy"":0.785714}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
conflict_resolution,Conflict Resolution,1,1,0,0.833333,0.833333,0.833333,0.833333,0,"{""conflict_resolution_accuracy"":1,""latest_valid_fact_accuracy"":1,""historical_query_accuracy"":1,""invalidated_fact_rejection"":1,""conflict_disclosure_accuracy"":0,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
cross_agent_transfer,Cross-Agent Transfer,1,1,0,1,1,1,1,0,"{""cross_agent_recall"":1,""cross_agent_consistency"":1,""update_propagation_accuracy"":1,""provenance_preservation"":1,""agent_isolation_error_rate"":0,""stale_transfer_rate"":0}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=cross_agent_transfer: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
human_like_forgetting,Human-like Forgetting,1,1,0,1,1,1,1,0,"{""salient_memory_retention"":1,""noise_suppression"":1,""false_forgetting_rate"":0,""stale_retention_rate"":0,""memory_precision"":1,""memory_compression_ratio"":null,""invalidation_accuracy"":1}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=human_like_forgetting: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
proactive_insight,Proactive Insight,1,1,0,0.59375,0.59375,0.59375,0.59375,0,"{""insight_precision"":0.5,""insight_recall"":0.5,""blind_spot_detection_rate"":0.75,""constraint_awareness"":0,""actionability"":0.5,""unsupported_claim_rate"":0.25,""redundant_insight_rate"":0,""overreach_rate"":0.25}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=proactive_insight: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
decision_quality,Decision Quality,1,1,0,0.685185,0.685185,0.685185,0.685185,0,"{""constraint_coverage"":0.5,""goal_alignment"":0.5,""personalization"":0.666667,""option_comparison_quality"":0.75,""risk_awareness"":0.75,""actionability"":0.75,""internal_consistency"":0.5,""unsupported_assumption_rate"":0,""overall_decision_quality"":0.75}",<LOCAL_EVIDENCE_ROOT>/06-targeted-7-round-1/results.jsonl,latest terminal records where category=decision_quality: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
